Given input File : input_small_id
Given query File : query_small_id
k : 4
L : 5
number of nearest : 5
Radius : 1000.000000
Given output File : wchange
DIMENSION = 128
Number of vectors in input file: 10000
*!*!**!*!* HASHSIZE = 1250
QINDEX = 13 | QID = 13 | RADIUS = 1000.000000
QINDEX = 218 | QID = 218 | RADIUS = 1000.000000
QINDEX = 342 | QID = 342 | RADIUS = 1000.000000
QINDEX = 930 | QID = 930 | RADIUS = 1000.000000
QINDEX = 780 | QID = 780 | RADIUS = 1000.000000
QINDEX = 971 | QID = 971 | RADIUS = 1000.000000
QINDEX = 353 | QID = 353 | RADIUS = 1000.000000
QINDEX = 946 | QID = 946 | RADIUS = 1000.000000
QINDEX = 1103 | QID = 1103 | RADIUS = 1000.000000
QINDEX = 243 | QID = 243 | RADIUS = 1000.000000
QINDEX = 582 | QID = 582 | RADIUS = 1000.000000
QINDEX = 997 | QID = 997 | RADIUS = 1000.000000
QINDEX = 146 | QID = 146 | RADIUS = 1000.000000
QINDEX = 1077 | QID = 1077 | RADIUS = 1000.000000
QINDEX = 1143 | QID = 1143 | RADIUS = 1000.000000
QINDEX = 1030 | QID = 1030 | RADIUS = 1000.000000
QINDEX = 202 | QID = 202 | RADIUS = 1000.000000
QINDEX = 576 | QID = 576 | RADIUS = 1000.000000
QINDEX = 136 | QID = 136 | RADIUS = 1000.000000
QINDEX = 926 | QID = 926 | RADIUS = 1000.000000
QINDEX = 593 | QID = 593 | RADIUS = 1000.000000
QINDEX = 231 | QID = 231 | RADIUS = 1000.000000
QINDEX = 140 | QID = 140 | RADIUS = 1000.000000
QINDEX = 817 | QID = 817 | RADIUS = 1000.000000
QINDEX = 647 | QID = 647 | RADIUS = 1000.000000
QINDEX = 889 | QID = 889 | RADIUS = 1000.000000
QINDEX = 485 | QID = 485 | RADIUS = 1000.000000
QINDEX = 223 | QID = 223 | RADIUS = 1000.000000
QINDEX = 596 | QID = 596 | RADIUS = 1000.000000
QINDEX = 686 | QID = 686 | RADIUS = 1000.000000
QINDEX = 44 | QID = 44 | RADIUS = 1000.000000
QINDEX = 478 | QID = 478 | RADIUS = 1000.000000
QINDEX = 181 | QID = 181 | RADIUS = 1000.000000
QINDEX = 304 | QID = 304 | RADIUS = 1000.000000
QINDEX = 120 | QID = 120 | RADIUS = 1000.000000
QINDEX = 631 | QID = 631 | RADIUS = 1000.000000
QINDEX = 682 | QID = 682 | RADIUS = 1000.000000
QINDEX = 209 | QID = 209 | RADIUS = 1000.000000
QINDEX = 728 | QID = 728 | RADIUS = 1000.000000
QINDEX = 790 | QID = 790 | RADIUS = 1000.000000
QINDEX = 1027 | QID = 1027 | RADIUS = 1000.000000
QINDEX = 137 | QID = 137 | RADIUS = 1000.000000
QINDEX = 786 | QID = 786 | RADIUS = 1000.000000
QINDEX = 538 | QID = 538 | RADIUS = 1000.000000
QINDEX = 1180 | QID = 1180 | RADIUS = 1000.000000
QINDEX = 70 | QID = 70 | RADIUS = 1000.000000
QINDEX = 910 | QID = 910 | RADIUS = 1000.000000
QINDEX = 966 | QID = 966 | RADIUS = 1000.000000
QINDEX = 1053 | QID = 1053 | RADIUS = 1000.000000
QINDEX = 680 | QID = 680 | RADIUS = 1000.000000
QINDEX = 487 | QID = 487 | RADIUS = 1000.000000
QINDEX = 208 | QID = 208 | RADIUS = 1000.000000
QINDEX = 1193 | QID = 1193 | RADIUS = 1000.000000
QINDEX = 1032 | QID = 1032 | RADIUS = 1000.000000
QINDEX = 832 | QID = 832 | RADIUS = 1000.000000
QINDEX = 1156 | QID = 1156 | RADIUS = 1000.000000
QINDEX = 464 | QID = 464 | RADIUS = 1000.000000
QINDEX = 749 | QID = 749 | RADIUS = 1000.000000
QINDEX = 1038 | QID = 1038 | RADIUS = 1000.000000
QINDEX = 727 | QID = 727 | RADIUS = 1000.000000
QINDEX = 145 | QID = 145 | RADIUS = 1000.000000
QINDEX = 1012 | QID = 1012 | RADIUS = 1000.000000
QINDEX = 570 | QID = 570 | RADIUS = 1000.000000
QINDEX = 811 | QID = 811 | RADIUS = 1000.000000
QINDEX = 19 | QID = 19 | RADIUS = 1000.000000
QINDEX = 1086 | QID = 1086 | RADIUS = 1000.000000
QINDEX = 37 | QID = 37 | RADIUS = 1000.000000
QINDEX = 729 | QID = 729 | RADIUS = 1000.000000
QINDEX = 1071 | QID = 1071 | RADIUS = 1000.000000
QINDEX = 303 | QID = 303 | RADIUS = 1000.000000
QINDEX = 1076 | QID = 1076 | RADIUS = 1000.000000
QINDEX = 462 | QID = 462 | RADIUS = 1000.000000
QINDEX = 132 | QID = 132 | RADIUS = 1000.000000
QINDEX = 1249 | QID = 1249 | RADIUS = 1000.000000
QINDEX = 615 | QID = 615 | RADIUS = 1000.000000
QINDEX = 951 | QID = 951 | RADIUS = 1000.000000
QINDEX = 245 | QID = 245 | RADIUS = 1000.000000
QINDEX = 224 | QID = 224 | RADIUS = 1000.000000
QINDEX = 660 | QID = 660 | RADIUS = 1000.000000
QINDEX = 544 | QID = 544 | RADIUS = 1000.000000
QINDEX = 966 | QID = 966 | RADIUS = 1000.000000
QINDEX = 467 | QID = 467 | RADIUS = 1000.000000
QINDEX = 1125 | QID = 1125 | RADIUS = 1000.000000
QINDEX = 865 | QID = 865 | RADIUS = 1000.000000
QINDEX = 1118 | QID = 1118 | RADIUS = 1000.000000
QINDEX = 1217 | QID = 1217 | RADIUS = 1000.000000
QINDEX = 442 | QID = 442 | RADIUS = 1000.000000
QINDEX = 112 | QID = 112 | RADIUS = 1000.000000
QINDEX = 1189 | QID = 1189 | RADIUS = 1000.000000
QINDEX = 838 | QID = 838 | RADIUS = 1000.000000
QINDEX = 985 | QID = 985 | RADIUS = 1000.000000
QINDEX = 737 | QID = 737 | RADIUS = 1000.000000
QINDEX = 410 | QID = 410 | RADIUS = 1000.000000
QINDEX = 786 | QID = 786 | RADIUS = 1000.000000
QINDEX = 807 | QID = 807 | RADIUS = 1000.000000
QINDEX = 38 | QID = 38 | RADIUS = 1000.000000
QINDEX = 623 | QID = 623 | RADIUS = 1000.000000
QINDEX = 612 | QID = 612 | RADIUS = 1000.000000
QINDEX = 982 | QID = 982 | RADIUS = 1000.000000
QINDEX = 599 | QID = 599 | RADIUS = 1000.000000
QINDEX = 988 | QID = 988 | RADIUS = 1000.000000
QINDEX = 722 | QID = 722 | RADIUS = 1000.000000
QINDEX = 1102 | QID = 1102 | RADIUS = 1000.000000
QINDEX = 234 | QID = 234 | RADIUS = 1000.000000
QINDEX = 1175 | QID = 1175 | RADIUS = 1000.000000
QINDEX = 1083 | QID = 1083 | RADIUS = 1000.000000
QINDEX = 667 | QID = 667 | RADIUS = 1000.000000
QINDEX = 1153 | QID = 1153 | RADIUS = 1000.000000
QINDEX = 531 | QID = 531 | RADIUS = 1000.000000
QINDEX = 1118 | QID = 1118 | RADIUS = 1000.000000
QINDEX = 30 | QID = 30 | RADIUS = 1000.000000
QINDEX = 485 | QID = 485 | RADIUS = 1000.000000
QINDEX = 950 | QID = 950 | RADIUS = 1000.000000
QINDEX = 479 | QID = 479 | RADIUS = 1000.000000
QINDEX = 966 | QID = 966 | RADIUS = 1000.000000
QINDEX = 1121 | QID = 1121 | RADIUS = 1000.000000
QINDEX = 185 | QID = 185 | RADIUS = 1000.000000
QINDEX = 1045 | QID = 1045 | RADIUS = 1000.000000
QINDEX = 614 | QID = 614 | RADIUS = 1000.000000
QINDEX = 594 | QID = 594 | RADIUS = 1000.000000
QINDEX = 1022 | QID = 1022 | RADIUS = 1000.000000
QINDEX = 694 | QID = 694 | RADIUS = 1000.000000
QINDEX = 1032 | QID = 1032 | RADIUS = 1000.000000
QINDEX = 881 | QID = 881 | RADIUS = 1000.000000
QINDEX = 1205 | QID = 1205 | RADIUS = 1000.000000
QINDEX = 1101 | QID = 1101 | RADIUS = 1000.000000
QINDEX = 1191 | QID = 1191 | RADIUS = 1000.000000
QINDEX = 389 | QID = 389 | RADIUS = 1000.000000
QINDEX = 993 | QID = 993 | RADIUS = 1000.000000
QINDEX = 865 | QID = 865 | RADIUS = 1000.000000
QINDEX = 296 | QID = 296 | RADIUS = 1000.000000
QINDEX = 249 | QID = 249 | RADIUS = 1000.000000
QINDEX = 876 | QID = 876 | RADIUS = 1000.000000
QINDEX = 1062 | QID = 1062 | RADIUS = 1000.000000
QINDEX = 1027 | QID = 1027 | RADIUS = 1000.000000
QINDEX = 1067 | QID = 1067 | RADIUS = 1000.000000
QINDEX = 90 | QID = 90 | RADIUS = 1000.000000
QINDEX = 721 | QID = 721 | RADIUS = 1000.000000
QINDEX = 1123 | QID = 1123 | RADIUS = 1000.000000
QINDEX = 328 | QID = 328 | RADIUS = 1000.000000
QINDEX = 575 | QID = 575 | RADIUS = 1000.000000
QINDEX = 437 | QID = 437 | RADIUS = 1000.000000
QINDEX = 1180 | QID = 1180 | RADIUS = 1000.000000
QINDEX = 1244 | QID = 1244 | RADIUS = 1000.000000
QINDEX = 926 | QID = 926 | RADIUS = 1000.000000
QINDEX = 766 | QID = 766 | RADIUS = 1000.000000
QINDEX = 368 | QID = 368 | RADIUS = 1000.000000
QINDEX = 184 | QID = 184 | RADIUS = 1000.000000
QINDEX = 560 | QID = 560 | RADIUS = 1000.000000
QINDEX = 16 | QID = 16 | RADIUS = 1000.000000
QINDEX = 8 | QID = 8 | RADIUS = 1000.000000
QINDEX = 341 | QID = 341 | RADIUS = 1000.000000
QINDEX = 463 | QID = 463 | RADIUS = 1000.000000
QINDEX = 1222 | QID = 1222 | RADIUS = 1000.000000
QINDEX = 64 | QID = 64 | RADIUS = 1000.000000
QINDEX = 1096 | QID = 1096 | RADIUS = 1000.000000
QINDEX = 606 | QID = 606 | RADIUS = 1000.000000
QINDEX = 521 | QID = 521 | RADIUS = 1000.000000
QINDEX = 747 | QID = 747 | RADIUS = 1000.000000
QINDEX = 1073 | QID = 1073 | RADIUS = 1000.000000
QINDEX = 445 | QID = 445 | RADIUS = 1000.000000
QINDEX = 318 | QID = 318 | RADIUS = 1000.000000
QINDEX = 477 | QID = 477 | RADIUS = 1000.000000
QINDEX = 119 | QID = 119 | RADIUS = 1000.000000
QINDEX = 457 | QID = 457 | RADIUS = 1000.000000
QINDEX = 913 | QID = 913 | RADIUS = 1000.000000
QINDEX = 702 | QID = 702 | RADIUS = 1000.000000
QINDEX = 1100 | QID = 1100 | RADIUS = 1000.000000
QINDEX = 301 | QID = 301 | RADIUS = 1000.000000
QINDEX = 694 | QID = 694 | RADIUS = 1000.000000
QINDEX = 403 | QID = 403 | RADIUS = 1000.000000
QINDEX = 326 | QID = 326 | RADIUS = 1000.000000
QINDEX = 784 | QID = 784 | RADIUS = 1000.000000
QINDEX = 57 | QID = 57 | RADIUS = 1000.000000
QINDEX = 312 | QID = 312 | RADIUS = 1000.000000
QINDEX = 108 | QID = 108 | RADIUS = 1000.000000
QINDEX = 772 | QID = 772 | RADIUS = 1000.000000
QINDEX = 1162 | QID = 1162 | RADIUS = 1000.000000
QINDEX = 163 | QID = 163 | RADIUS = 1000.000000
QINDEX = 913 | QID = 913 | RADIUS = 1000.000000
QINDEX = 539 | QID = 539 | RADIUS = 1000.000000
QINDEX = 987 | QID = 987 | RADIUS = 1000.000000
QINDEX = 14 | QID = 14 | RADIUS = 1000.000000
QINDEX = 915 | QID = 915 | RADIUS = 1000.000000
QINDEX = 961 | QID = 961 | RADIUS = 1000.000000
QINDEX = 66 | QID = 66 | RADIUS = 1000.000000
QINDEX = 1086 | QID = 1086 | RADIUS = 1000.000000
QINDEX = 519 | QID = 519 | RADIUS = 1000.000000
QINDEX = 24 | QID = 24 | RADIUS = 1000.000000
QINDEX = 505 | QID = 505 | RADIUS = 1000.000000
QINDEX = 1240 | QID = 1240 | RADIUS = 1000.000000
QINDEX = 507 | QID = 507 | RADIUS = 1000.000000
QINDEX = 951 | QID = 951 | RADIUS = 1000.000000
QINDEX = 443 | QID = 443 | RADIUS = 1000.000000
QINDEX = 156 | QID = 156 | RADIUS = 1000.000000
QINDEX = 671 | QID = 671 | RADIUS = 1000.000000
QINDEX = 147 | QID = 147 | RADIUS = 1000.000000
QINDEX = 324 | QID = 324 | RADIUS = 1000.000000
QINDEX = 221 | QID = 221 | RADIUS = 1000.000000
QINDEX = 458 | QID = 458 | RADIUS = 1000.000000
QINDEX = 1102 | QID = 1102 | RADIUS = 1000.000000
QINDEX = 585 | QID = 585 | RADIUS = 1000.000000
QINDEX = 758 | QID = 758 | RADIUS = 1000.000000
QINDEX = 93 | QID = 93 | RADIUS = 1000.000000
QINDEX = 557 | QID = 557 | RADIUS = 1000.000000
QINDEX = 494 | QID = 494 | RADIUS = 1000.000000
QINDEX = 1073 | QID = 1073 | RADIUS = 1000.000000
QINDEX = 1238 | QID = 1238 | RADIUS = 1000.000000
QINDEX = 284 | QID = 284 | RADIUS = 1000.000000
QINDEX = 1245 | QID = 1245 | RADIUS = 1000.000000
QINDEX = 452 | QID = 452 | RADIUS = 1000.000000
QINDEX = 881 | QID = 881 | RADIUS = 1000.000000
QINDEX = 1064 | QID = 1064 | RADIUS = 1000.000000
QINDEX = 110 | QID = 110 | RADIUS = 1000.000000
QINDEX = 381 | QID = 381 | RADIUS = 1000.000000
QINDEX = 797 | QID = 797 | RADIUS = 1000.000000
QINDEX = 305 | QID = 305 | RADIUS = 1000.000000
QINDEX = 520 | QID = 520 | RADIUS = 1000.000000
QINDEX = 1033 | QID = 1033 | RADIUS = 1000.000000
QINDEX = 961 | QID = 961 | RADIUS = 1000.000000
QINDEX = 159 | QID = 159 | RADIUS = 1000.000000
QINDEX = 803 | QID = 803 | RADIUS = 1000.000000
QINDEX = 685 | QID = 685 | RADIUS = 1000.000000
QINDEX = 727 | QID = 727 | RADIUS = 1000.000000
QINDEX = 668 | QID = 668 | RADIUS = 1000.000000
QINDEX = 119 | QID = 119 | RADIUS = 1000.000000
QINDEX = 986 | QID = 986 | RADIUS = 1000.000000
QINDEX = 802 | QID = 802 | RADIUS = 1000.000000
QINDEX = 94 | QID = 94 | RADIUS = 1000.000000
QINDEX = 321 | QID = 321 | RADIUS = 1000.000000
QINDEX = 126 | QID = 126 | RADIUS = 1000.000000
QINDEX = 666 | QID = 666 | RADIUS = 1000.000000
QINDEX = 186 | QID = 186 | RADIUS = 1000.000000
QINDEX = 187 | QID = 187 | RADIUS = 1000.000000
QINDEX = 626 | QID = 626 | RADIUS = 1000.000000
QINDEX = 979 | QID = 979 | RADIUS = 1000.000000
QINDEX = 991 | QID = 991 | RADIUS = 1000.000000
QINDEX = 447 | QID = 447 | RADIUS = 1000.000000
QINDEX = 749 | QID = 749 | RADIUS = 1000.000000
QINDEX = 304 | QID = 304 | RADIUS = 1000.000000
QINDEX = 1148 | QID = 1148 | RADIUS = 1000.000000
QINDEX = 900 | QID = 900 | RADIUS = 1000.000000
QINDEX = 403 | QID = 403 | RADIUS = 1000.000000
QINDEX = 490 | QID = 490 | RADIUS = 1000.000000
QINDEX = 179 | QID = 179 | RADIUS = 1000.000000
QINDEX = 289 | QID = 289 | RADIUS = 1000.000000
QINDEX = 222 | QID = 222 | RADIUS = 1000.000000
QINDEX = 548 | QID = 548 | RADIUS = 1000.000000
QINDEX = 1125 | QID = 1125 | RADIUS = 1000.000000
QINDEX = 1016 | QID = 1016 | RADIUS = 1000.000000
QINDEX = 627 | QID = 627 | RADIUS = 1000.000000
QINDEX = 1129 | QID = 1129 | RADIUS = 1000.000000
QINDEX = 906 | QID = 906 | RADIUS = 1000.000000
QINDEX = 51 | QID = 51 | RADIUS = 1000.000000
QINDEX = 412 | QID = 412 | RADIUS = 1000.000000
QINDEX = 22 | QID = 22 | RADIUS = 1000.000000
QINDEX = 218 | QID = 218 | RADIUS = 1000.000000
QINDEX = 880 | QID = 880 | RADIUS = 1000.000000
QINDEX = 764 | QID = 764 | RADIUS = 1000.000000
QINDEX = 1120 | QID = 1120 | RADIUS = 1000.000000
QINDEX = 587 | QID = 587 | RADIUS = 1000.000000
QINDEX = 271 | QID = 271 | RADIUS = 1000.000000
QINDEX = 1198 | QID = 1198 | RADIUS = 1000.000000
QINDEX = 1193 | QID = 1193 | RADIUS = 1000.000000
QINDEX = 465 | QID = 465 | RADIUS = 1000.000000
QINDEX = 938 | QID = 938 | RADIUS = 1000.000000
QINDEX = 749 | QID = 749 | RADIUS = 1000.000000
QINDEX = 479 | QID = 479 | RADIUS = 1000.000000
QINDEX = 131 | QID = 131 | RADIUS = 1000.000000
QINDEX = 157 | QID = 157 | RADIUS = 1000.000000
QINDEX = 477 | QID = 477 | RADIUS = 1000.000000
QINDEX = 305 | QID = 305 | RADIUS = 1000.000000
QINDEX = 397 | QID = 397 | RADIUS = 1000.000000
QINDEX = 698 | QID = 698 | RADIUS = 1000.000000
QINDEX = 1060 | QID = 1060 | RADIUS = 1000.000000
QINDEX = 987 | QID = 987 | RADIUS = 1000.000000
QINDEX = 973 | QID = 973 | RADIUS = 1000.000000
QINDEX = 1155 | QID = 1155 | RADIUS = 1000.000000
QINDEX = 285 | QID = 285 | RADIUS = 1000.000000
QINDEX = 1120 | QID = 1120 | RADIUS = 1000.000000
QINDEX = 782 | QID = 782 | RADIUS = 1000.000000
QINDEX = 1145 | QID = 1145 | RADIUS = 1000.000000
QINDEX = 746 | QID = 746 | RADIUS = 1000.000000
QINDEX = 238 | QID = 238 | RADIUS = 1000.000000
QINDEX = 242 | QID = 242 | RADIUS = 1000.000000
QINDEX = 470 | QID = 470 | RADIUS = 1000.000000
QINDEX = 1207 | QID = 1207 | RADIUS = 1000.000000
QINDEX = 830 | QID = 830 | RADIUS = 1000.000000
QINDEX = 598 | QID = 598 | RADIUS = 1000.000000
QINDEX = 609 | QID = 609 | RADIUS = 1000.000000
QINDEX = 423 | QID = 423 | RADIUS = 1000.000000
QINDEX = 574 | QID = 574 | RADIUS = 1000.000000
QINDEX = 66 | QID = 66 | RADIUS = 1000.000000
QINDEX = 616 | QID = 616 | RADIUS = 1000.000000
QINDEX = 109 | QID = 109 | RADIUS = 1000.000000
QINDEX = 229 | QID = 229 | RADIUS = 1000.000000
QINDEX = 645 | QID = 645 | RADIUS = 1000.000000
QINDEX = 983 | QID = 983 | RADIUS = 1000.000000
QINDEX = 484 | QID = 484 | RADIUS = 1000.000000
QINDEX = 955 | QID = 955 | RADIUS = 1000.000000
QINDEX = 252 | QID = 252 | RADIUS = 1000.000000
QINDEX = 1074 | QID = 1074 | RADIUS = 1000.000000
QINDEX = 1224 | QID = 1224 | RADIUS = 1000.000000
QINDEX = 487 | QID = 487 | RADIUS = 1000.000000
QINDEX = 1105 | QID = 1105 | RADIUS = 1000.000000
QINDEX = 1179 | QID = 1179 | RADIUS = 1000.000000
QINDEX = 1083 | QID = 1083 | RADIUS = 1000.000000
QINDEX = 360 | QID = 360 | RADIUS = 1000.000000
QINDEX = 1161 | QID = 1161 | RADIUS = 1000.000000
QINDEX = 201 | QID = 201 | RADIUS = 1000.000000
QINDEX = 1001 | QID = 1001 | RADIUS = 1000.000000
QINDEX = 519 | QID = 519 | RADIUS = 1000.000000
QINDEX = 905 | QID = 905 | RADIUS = 1000.000000
QINDEX = 980 | QID = 980 | RADIUS = 1000.000000
QINDEX = 113 | QID = 113 | RADIUS = 1000.000000
QINDEX = 339 | QID = 339 | RADIUS = 1000.000000
QINDEX = 461 | QID = 461 | RADIUS = 1000.000000
QINDEX = 535 | QID = 535 | RADIUS = 1000.000000
QINDEX = 244 | QID = 244 | RADIUS = 1000.000000
QINDEX = 1164 | QID = 1164 | RADIUS = 1000.000000
QINDEX = 636 | QID = 636 | RADIUS = 1000.000000
QINDEX = 184 | QID = 184 | RADIUS = 1000.000000
QINDEX = 212 | QID = 212 | RADIUS = 1000.000000
QINDEX = 540 | QID = 540 | RADIUS = 1000.000000
QINDEX = 648 | QID = 648 | RADIUS = 1000.000000
QINDEX = 117 | QID = 117 | RADIUS = 1000.000000
QINDEX = 247 | QID = 247 | RADIUS = 1000.000000
QINDEX = 209 | QID = 209 | RADIUS = 1000.000000
QINDEX = 195 | QID = 195 | RADIUS = 1000.000000
QINDEX = 211 | QID = 211 | RADIUS = 1000.000000
QINDEX = 1154 | QID = 1154 | RADIUS = 1000.000000
QINDEX = 362 | QID = 362 | RADIUS = 1000.000000
QINDEX = 135 | QID = 135 | RADIUS = 1000.000000
QINDEX = 1125 | QID = 1125 | RADIUS = 1000.000000
QINDEX = 1153 | QID = 1153 | RADIUS = 1000.000000
QINDEX = 39 | QID = 39 | RADIUS = 1000.000000
QINDEX = 1178 | QID = 1178 | RADIUS = 1000.000000
QINDEX = 133 | QID = 133 | RADIUS = 1000.000000
QINDEX = 1073 | QID = 1073 | RADIUS = 1000.000000
QINDEX = 117 | QID = 117 | RADIUS = 1000.000000
QINDEX = 1095 | QID = 1095 | RADIUS = 1000.000000
QINDEX = 483 | QID = 483 | RADIUS = 1000.000000
QINDEX = 1190 | QID = 1190 | RADIUS = 1000.000000
QINDEX = 1135 | QID = 1135 | RADIUS = 1000.000000
QINDEX = 689 | QID = 689 | RADIUS = 1000.000000
QINDEX = 1044 | QID = 1044 | RADIUS = 1000.000000
QINDEX = 728 | QID = 728 | RADIUS = 1000.000000
QINDEX = 804 | QID = 804 | RADIUS = 1000.000000
QINDEX = 1198 | QID = 1198 | RADIUS = 1000.000000
QINDEX = 1041 | QID = 1041 | RADIUS = 1000.000000
QINDEX = 469 | QID = 469 | RADIUS = 1000.000000
QINDEX = 527 | QID = 527 | RADIUS = 1000.000000
QINDEX = 284 | QID = 284 | RADIUS = 1000.000000
QINDEX = 499 | QID = 499 | RADIUS = 1000.000000
QINDEX = 1238 | QID = 1238 | RADIUS = 1000.000000
QINDEX = 278 | QID = 278 | RADIUS = 1000.000000
QINDEX = 27 | QID = 27 | RADIUS = 1000.000000
QINDEX = 368 | QID = 368 | RADIUS = 1000.000000
QINDEX = 775 | QID = 775 | RADIUS = 1000.000000
QINDEX = 870 | QID = 870 | RADIUS = 1000.000000
QINDEX = 844 | QID = 844 | RADIUS = 1000.000000
QINDEX = 199 | QID = 199 | RADIUS = 1000.000000
QINDEX = 279 | QID = 279 | RADIUS = 1000.000000
QINDEX = 264 | QID = 264 | RADIUS = 1000.000000
QINDEX = 293 | QID = 293 | RADIUS = 1000.000000
QINDEX = 1136 | QID = 1136 | RADIUS = 1000.000000
QINDEX = 661 | QID = 661 | RADIUS = 1000.000000
QINDEX = 247 | QID = 247 | RADIUS = 1000.000000
QINDEX = 177 | QID = 177 | RADIUS = 1000.000000
QINDEX = 933 | QID = 933 | RADIUS = 1000.000000
QINDEX = 1131 | QID = 1131 | RADIUS = 1000.000000
QINDEX = 353 | QID = 353 | RADIUS = 1000.000000
QINDEX = 115 | QID = 115 | RADIUS = 1000.000000
QINDEX = 1082 | QID = 1082 | RADIUS = 1000.000000
QINDEX = 536 | QID = 536 | RADIUS = 1000.000000
QINDEX = 1246 | QID = 1246 | RADIUS = 1000.000000
QINDEX = 906 | QID = 906 | RADIUS = 1000.000000
QINDEX = 1023 | QID = 1023 | RADIUS = 1000.000000
QINDEX = 937 | QID = 937 | RADIUS = 1000.000000
QINDEX = 508 | QID = 508 | RADIUS = 1000.000000
QINDEX = 1130 | QID = 1130 | RADIUS = 1000.000000
QINDEX = 554 | QID = 554 | RADIUS = 1000.000000
QINDEX = 163 | QID = 163 | RADIUS = 1000.000000
QINDEX = 960 | QID = 960 | RADIUS = 1000.000000
QINDEX = 1194 | QID = 1194 | RADIUS = 1000.000000
QINDEX = 363 | QID = 363 | RADIUS = 1000.000000
QINDEX = 584 | QID = 584 | RADIUS = 1000.000000
QINDEX = 313 | QID = 313 | RADIUS = 1000.000000
QINDEX = 675 | QID = 675 | RADIUS = 1000.000000
QINDEX = 376 | QID = 376 | RADIUS = 1000.000000
QINDEX = 558 | QID = 558 | RADIUS = 1000.000000
QINDEX = 1213 | QID = 1213 | RADIUS = 1000.000000
QINDEX = 759 | QID = 759 | RADIUS = 1000.000000
QINDEX = 473 | QID = 473 | RADIUS = 1000.000000
QINDEX = 160 | QID = 160 | RADIUS = 1000.000000
QINDEX = 835 | QID = 835 | RADIUS = 1000.000000
